"filename","date","speaker","X","Name","Party","Constituency.x","Female","Dynastic","Votes","Vote_share","Quota","ff","gov","docs","dail","ID_unit","Stratum","Local","labels"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0291197607010039-644.txt",19760701,644,425,"Bill Loughnane","Fianna Fail","Clare Galway South",0,0,6956,26.46,1.06,1,0,"asked the minister for foreign affairs if he will request the media to refrain from designating the religion of assassinated citizens in the six counties so as to eliminate reprisal killings",20,6,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0291197607010041-644.txt",19760701,644,425,"Bill Loughnane","Fianna Fail","Clare Galway South",0,0,6956,26.46,1.06,1,0,"asked the minister for foreign affairs if he is aware that the british army has stated that they have now a new light weight 485 rifle which could be used in the six counties and which fires smaller calibre bullets than those of the standard rifle and can cause more severe internal injuries than the standard size bullets and that it can be easily hidden and carried by troops in civilian attire and if he has made or intends to make a request to the british government to withdraw such weapons",20,8,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0291197607010053-544.txt",19760701,544,414,"Thomas Hussey","Fianna Fail","Galway North East",0,0,5340,20.37,0.81,1,0,"asked the minister for industry and commerce the amount of land owned by the ida in county galway to be used as industrial sites and the size and location of each of these sites",20,22,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0289197603250022-754.txt",19760325,754,237,"Thomas Meaney","Fianna Fail","Cork Mid",0,1,10400,25.64,1.28,1,0,"asked the minister for agriculture and fisheries if he will arrange to have a handicapped area scheme grant paid to a person name supplied in county cork whose cattle were inspected last december",20,154,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0287197602050069-797.txt",19760205,797,585,"Ciaran Murphy","Fianna Fail","Wicklow",0,0,4521,15.31,0.61,1,0,"asked the minister for education the grants to irish and bilingual schools for the years 1972-73 and 1973-74 and if he will make a statement on the fact that the 1973-74 grant was not fully utilised",20,252,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0287197602100062-291.txt",19760210,291,378,"Noel Davern","Fianna Fail","Tipperary South",0,1,6117,16.55,0.83,1,0,"asked the minister for justice the number of applicants for the garda síochána who will be called in 1976 asked the minister for justice the number of applicants for the garda síochána the length of time that some have been waiting and when the applicants from 1975 will be called",20,340,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0282197506240027-906.txt",19750624,906,454,"Michael O'Kennedy","Fianna Fail","Tipperary North",0,0,5709,20.14,0.81,1,0,"asked the minister for local government the number of housing schemes and housing developments sanctioned by his department on foot of proposals from nenagh udc county tipperary between march 1963 and march 1973 the number of houses involved in each such scheme and the cost in each case",20,463,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0296197702020036-155.txt",19770202,155,506,"Sean Calleary","Fianna Fail","Mayo East",0,1,6725,26,1.04,1,0,"asked the minister for agriculture and fisheries if money will be allocated in the present year for the construction of a pier at kilcummin carrowmore-lacken ballina county mayo asked the minister for agriculture and fisheries if he is aware of the urgent need to complete work on killala pier county mayo and if he will state when work will restart",20,612,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0277197501160064-260.txt",19750116,260,95,"Brendan Crinion","Fianna Fail","Meath",0,0,8555,27.98,1.12,1,0,"asked the minister for social welfare when a retirement pension will be paid to a person name supplied in county meath who first applied on 1st november 1973 and submitted his english social security record and the reason for the delay in dealing with this case",20,819,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0291197605250034-313.txt",19760525,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for education if he will make a statement on the progress to date in the provision of a 12-classroom extension to the dundrum boys and girls national school county dublin",20,888,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0289197603310059-105.txt",19760331,105,313,"Sean Brosnan","Fianna Fail","Cork North East",0,0,19928,49.36,0.99,1,0,"asked the minister for posts and telegraphs if he is aware of the large backlog of applications for telephones in the midleton area of county cork the shortage of equipment and the unsatisfactory condition generally of the telephone service in the area and the plans if any he has to improve the position in the near future",20,947,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0267197307260139-777.txt",19730726,777,250,"Sean Moore","Fianna Fail","Dublin South East",0,0,5354,20.95,0.84,1,0,"asked the minister for justice the specific duties which are allotted to members of the banghardaí in the dublin city area",20,1086,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0267197307260224-153.txt",19730726,153,502,"Johnny Callanan","Fianna Fail","Clare Galway South",0,0,5005,19.04,0.76,1,0,"asked the minister for agriculture and fisheries if he will consider giving a subsidy to county committees of agriculture for the eradication of foxes on a national scale",20,1181,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0286197512180070-908.txt",19751218,908,263,"John O'Leary","Fianna Fail","Kerry South",0,0,8286,30.31,1.21,1,0,"asked the minister for education if he is aware of grave dissatisfaction among parents and school children regarding the increasing number of cases where smaller school buses are provided or where the number of school buses is reduced in particular school districts with the effect of allowing less children to be taken as fare-paying passengers and if he will make a statement on the matter",20,1325,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0286197512180141-195.txt",19751218,195,89,"George Colley","Fianna Fail","Dublin North Central",0,1,10263,29.76,1.49,1,0,"asked the minister for labour if he will arrange with an chomhairle oiliúna to provide a training centre in the north dublin city area",20,1401,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0294197611300030-918.txt",19761130,918,276,"Desmond O'Malley","Fianna Fail","Limerick East",0,1,7806,20.99,1.05,1,0,"asked the minister for local government when limerick corporation applied first to him for sanction to raise a loan to finance a new cemetery at mount saint oliver limerick and when he proposes to sanction the raising of the loan in view of the urgency of the situation",20,1649,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0293197611100043-129.txt",19761110,129,493,"Ray Burke","Fianna Fail","Dublin County North",0,1,10652,24.06,1.2,1,0,"asked the minister for education the plans he has for the provision of a post-primary school for the priorswood area of county dublin asked the minister for education if he will agree as a matter of urgency to the setting up of a board of management for the proposed new community school for the donahies grangemore donaghmede and grange abbey area county dublin and if he will make a decision on a location for temporary accommodation for the school for 1977-78",20,1738,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0265197305240018-313.txt",19730524,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for labour if he will furnish the latest estimates of receipts and payments of the redundancy fund in the form of a reply of 18th may 1971",20,1956,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0284197507300030-402.txt",19750730,402,405,"Garret FitzGerald","Fine Gael","Dublin South East",0,1,7958,31.14,1.25,0,1,"asked the minister for labour the number of redundancies per month in 1975 recorded by his department and the number of redundant persons called for anco training courses",20,2152,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0296197702150034-768.txt",19770215,768,241,"Bobby Molloy","Fianna Fail","Galway West",0,0,7028,28.31,1.13,1,0,"asked the minister for agriculture when a decision will be made regarding the division of the corcoran estate claregalway county galway",20,2549,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0291197606220027-313.txt",19760622,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for lands the lowest basic weekly pay of forestry workers at each change since 1st january 1971 the date of change the pay increase and the incentive bonus rate per hour asked the minister for lands the hourly average bonus earnings of forestry workers in 1976 in the form of a reply of 10th february 1976",20,2662,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0288197602190034-313.txt",19760219,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for finance whether in view of recent publicity concerning the arbitary fees charged by barristers there is a satisfactory means of ensuring that incomes of individual barristers are accurately assessed and tax is not evaded",20,2776,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0287197601270045-198.txt",19760127,198,344,"Edward Collins","Fine Gael","Waterford",0,0,6719,21.78,0.87,0,1,"asked the minister for education when the proposed extension to fenor national school county waterford will be put in hand and if he will make a statement on the matter",20,2794,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0284197507290056-313.txt",19750729,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for lands the present basic rates of pay of forestry workers and principal grades of machinery workers and the increase payable under the second phase of the 1975 national agreement asked the minister for lands the hourly average bonus earnings of forestry workers in each month of 1975",20,2900,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0282197506250047-602.txt",19750625,602,568,"Michael Kitt","Fianna Fail","Galway North East",0,1,14479,52.8,1.06,1,0,"asked the minister for education the number of teaching positions a in primary schools on 1st july 1975 and b in postprimary schools on 1st september 1975",20,2983,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0279197504080041-313.txt",19750408,313,385,"Barry Desmond","Labour Party","Dun Laoghaire and Rathdown",0,0,5768,13.73,0.69,0,1,"asked the minister for transport and power whether the irish delegates voted for the convention on a code of conduct for liner conferences whether ireland proposes to ratify the convention and the policy of the government in relation to flags of convenience",20,3149,1,0,"not"
"/gpfs/group/dynrr/ireland/xml_by_session/20/xml/speech/raw_speech-D0295197612080042-155.txt",19761208,155,506,"Sean Calleary","Fianna Fail","Mayo East",0,1,6725,26,1.04,1,0,"asked the minister for posts and telegraphs if he is aware that an applicant for a telephone name supplied in county mayo is waiting since 1972 for it to be connected and the reason for the delay",20,3167,1,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/21/xml/speech/raw_speech-D0327198102250056-410.txt",19810225,410,218,"Tom Fitzpatrick","Fine Gael","Cavan Monaghan",0,0,9060,16.17,0.97,0,0,"cavan-monaghan asked the minister for the environment if a person details supplied in county cavan is an applicant for a home improvement grant if so the date on which he applied if and when the job will be inspected and when payment of the grant will be made cavan-monaghan asked the minister for the environment if a person details supplied in county cavan is an applicant for a home reconstruction grant if so the date on which he applied the amount of the grant allocated and when it is proposed to inspect the work and pay the grant cavan-monaghan asked the minister for the environment if a person details supplied in county cavan has applied for a home improvement grant if so the date on which he applied and whether a grant has been sanctioned in this case",21,3475,2,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/21/xml/speech/raw_speech-D0326198102040051-23.txt",19810204,23,633,"Liam Aylward","Fianna Fail","Carlow Kilkenny",0,0,6317,11.4,0.68,1,1,"asked the minister for the environment when a reconstruction grant will be paid to a person details supplied in county kilkenny as the work has been inspected and passed",21,3635,2,1,"local"
"/gpfs/group/dynrr/ireland/xml_by_session/21/xml/speech/raw_speech-D0302197711290083-210.txt",19771129,210,350,"John Conlan","Fine Gael","Cavan Monaghan",0,0,6347,11.33,0.68,0,0,"asked the minister for posts and telegraphs when emyvale exchange county monaghan will go automatic",21,3943,2,1,"local"
